"name","height","weight","games","touchdowns","points","two_point_points","total_singles","fumbles","fumbles_lost","fumble_return_yards","fumble_touchdowns"
"Aaron_Crawford",6.04,250,6,0,0,0,0,1,0,0,0
"Aaron_Grymes",5.11,186,37,0,0,0,0,0,0,0,0
"Aaron_Hargreaves",6.04,233,2,0,0,0,0,0,0,0,0
"Aaron_Kelly",6.04,193,22,4,24,0,0,0,0,0,0
"Aaron _Lavarias",6.03,250,32,0,0,0,0,0,0,30,0
"Aaron_Maybin",6.04,237,2,0,0,0,0,0,0,0,0
"Aaron _Milton",6.03,215,1,0,0,0,0,0,0,0,0
"Aaron_Woods",5.06,181,13,0,0,0,0,1,1,0,0
"Abdul_Kanneh",5.1,185,7,0,0,0,0,0,0,0,0
"Abraham_Kromah",6,227,7,1,6,0,0,0,0,0,0
"A.C._Leonard",6.02,252,3,2,12,0,0,0,0,0,0
"Adam_Berger",6,207,17,0,0,0,0,0,0,0,0
"Adam _Bighill",5.1,230,41,1,6,0,0,0,0,90,1
"Adam _Konar",6.02,225,2,0,0,0,0,0,0,0,0
"Adam_Thibault",6,202,11,1,6,0,0,0,0,10,1
"Adam_Weber",6.03,210,2,0,0,0,0,0,0,0,0
"Adarius_Bowman",6.03,217,35,16,96,0,0,6,4,0,0
"Addison_Richards",6.04,212,1,0,0,0,0,0,0,0,0
"Adrian_Clarke",6.03,235,3,0,0,0,0,0,0,0,0
"Adrian_McPherson",6.03,220,3,0,0,0,0,0,0,0,0
"Adrian_Tracy",6.03,248,4,0,0,0,0,0,0,0,0
"AJ _Guyton",5.11,198,14,3,18,0,0,0,0,0,0
"A.J._Jefferson",6,190,5,1,6,0,0,0,0,0,0
"Akeem_Foster",6.04,222,7,0,0,0,0,1,1,0,0
"Akeem_Shavers",5.11,203,2,0,0,0,0,0,0,0,0
"Akeem_Whonder",5.1,225,2,0,0,0,0,0,0,0,0
"Akwasi_Antwi",6,254,12,0,0,0,0,0,0,0,0
"Akwasi_Owusu-Ansah",6.01,209,6,1,6,0,0,0,0,0,0
"Alan-Michael_Cash",6.02,292,33,0,0,0,0,0,0,0,0
"Albert_Presley",6.02,231,1,0,0,0,0,0,0,0,0
"Aldarius_Johnson",6.03,213,1,0,0,0,0,0,0,0,0
"Alexander_Krausnick",6.03,290,2,0,0,0,0,0,0,0,0
"Alexandre_Dupuis",6.03,243,9,0,0,0,0,0,0,0,0
"Alex_Anthony",6.02,205,2,0,0,0,0,0,0,0,0
"Alex_Bazzie",6.01,228,21,0,0,0,0,0,0,0,0
"Alex _Brink",6.03,222,5,0,0,0,0,2,1,0,0
"Alex_Carroll",5.11,195,1,1,6,0,0,0,0,0,0
"Alex _Charette",6.01,200,3,0,0,0,0,0,0,0,0
"Alex_Hall",6.05,260,26,0,0,0,0,0,0,4,0
"Alex_Hoffman-Ellis",6,230,6,0,0,0,0,0,0,15,0
"Alex_King",6.04,240,1,0,0,0,0,0,0,0,0
"Alex_Pierzchalski",6.05,220,8,1,6,0,0,1,0,0,0
"Alex_Suber",5.07,173,28,0,0,0,0,0,0,0,0
"Alex_Tillman",5.1,190,6,0,0,0,0,0,0,0,0
"Almondo_Sewell",6.04,288,37,0,0,0,0,1,0,0,0
"Alonzo_Lawrence",6,218,29,1,6,0,0,0,0,41,1
"Alric_Arnett",6.02,188,1,0,0,0,0,0,0,0,0
"Alvin_Bowen",6.02,225,13,0,0,0,0,0,0,0,0
"Ameet_Pall",6,245,4,0,0,0,0,0,0,0,0
"Andre_Caroll",6.02,287,1,0,0,0,0,0,0,0,0
"Andre_Douglas",6.05,300,1,0,0,0,0,0,0,0,0
"Andre_Durie",5.1,195,25,4,24,0,0,5,4,0,0
"Andre_Martin",5.11,195,2,0,0,0,0,0,0,0,0
"Andre_Monroe",5.11,285,1,0,0,0,0,0,0,0,0
"Andre_Ramsey",6.05,322,1,0,0,0,0,0,0,0,0
"Andre_Snipes-Booker",5.09,172,1,0,0,0,0,0,0,0,0
"Andrew_Buckley",6,201,1,0,0,0,0,0,0,0,0
"Andrew _Harris",5.11,213,38,21,126,0,0,11,5,0,0
"Andrew_Lue",6.02,210,16,0,0,0,0,0,0,0,0
"Andrew_Marshall",6.03,240,17,0,0,0,0,0,0,0,0
"Andrew_Muzljakovich",5.11,212,1,0,3,0,1,0,0,0,0
"Andy_Fantuz",6.04,220,37,9,56,1,0,1,1,0,0
"Antareis_Bryan",6.02,193,4,0,0,0,0,0,0,0,0
"Anthony_Alix",5.11,189,7,0,10,0,0,0,0,0,0
"Anthony _Allen",6.01,220,23,10,62,1,0,7,6,0,0
"Anthony_Barrett",5.09,180,2,0,0,0,0,0,0,0,0
"Anthony_Calvillo",6.01,213,9,0,0,0,0,2,2,0,0
"Anthony_Coady",5.1,190,2,0,0,0,0,0,0,0,0
"Anthony _Coombs",5.09,199,13,0,2,1,0,0,0,0,0
"Anthony_Degrate",6.02,237,2,0,0,0,0,0,0,0,0
"Anthony_Fera",6.02,207,2,0,6,0,0,0,0,0,0
"Anthony_Heygood",6.01,225,1,0,0,0,0,0,0,0,0
"Anthony_Parker",6.02,217,36,6,36,0,0,4,3,0,0
"Anthony_Santella",6.02,190,2,0,10,0,1,0,0,0,0
"Anthony_Watkins",6.01,217,1,0,0,0,0,0,0,0,0
"Anthony_Woodson",6,215,19,0,0,0,0,0,0,0,0
"Antoine_Pruneau",6,200,26,0,0,0,0,0,0,0,0
"Antonio _Coleman",6.01,254,8,0,0,0,0,0,0,0,0
"Antonio_Fenelus",5.09,190,1,0,0,0,0,0,0,0,0
"Antonio_Leak",6.02,258,1,0,0,0,0,0,0,0,0
"Anton_McKenzie",5.1,235,15,0,0,0,0,0,0,0,0
"Antwaun_Molden",6.01,198,6,1,6,0,0,0,0,0,0
"Anwar_Stewart",6.04,255,3,0,0,0,0,0,0,0,0
"Arland_Bruce",5.11,194,20,6,36,0,0,1,1,0,0
"Arnaud _Gascon-Nadon",6.03,250,19,0,0,0,0,0,0,0,0
"Arthur_Hobbs",5.1,195,16,0,0,0,0,0,0,4,0
"Aston_Whiteside",6.02,234,14,0,0,0,0,0,0,17,0
"Austin _Collie",6,204,5,2,14,1,0,0,0,0,0
"Auston_English",6.03,250,4,0,0,0,0,0,0,0,0
"Bakari_Grant",6.04,195,48,7,44,1,0,2,2,0,0
"Bear_Woods",6,245,26,0,0,0,0,0,0,0,0
"Beau_Landry",5.11,201,15,0,0,0,0,0,0,0,0
"Ben_Archibald",6.04,322,1,0,0,0,0,0,0,0,0
"Ben_D'Aguilar",6.02,236,17,0,0,0,0,0,0,0,0
"Ben _Heenan",6.04,310,3,0,0,0,0,0,0,0,0
"Ben_Wells",6,194,3,0,0,0,0,0,0,0,0
"Bert_Brown",5.09,176,2,0,0,0,0,0,0,0,0
"Billy_Parker",6,195,45,0,0,0,0,0,0,0,0
"Billy_Pavlopoulos",6.02,210,1,0,0,0,0,0,0,0,0
"Blair _Smith",6.02,230,2,0,0,0,0,0,0,0,0
"Bo_Adebayo",6.04,268,7,0,0,0,0,0,0,0,0
"Bo_Bowling",5.09,183,7,1,6,0,0,2,2,0,0
"Bo Levi_Mitchell",6.02,196,41,7,42,0,0,14,8,0,0
"Bo_Lokombo",6.02,233,5,0,0,0,0,0,0,0,0
"Boris_Bede",6.04,225,6,0,44,0,2,1,1,0,0
"Bo_Smith",6,185,1,0,0,0,0,0,0,0,0
"Brad_Erdos",6.03,299,2,0,0,0,0,0,0,0,0
"Bradley_Randle",5.07,190,2,0,0,0,0,0,0,0,0
"Brad_Sinopoli",6.04,215,33,4,24,0,0,3,2,0,0
"Branden_Smith",5.1,166,22,1,6,0,0,2,2,0,0
"Brander_Craighead",6.07,300,3,0,0,0,0,0,0,0,0
"Brandon_Banks",5.07,153,30,14,84,0,0,3,3,0,0
"Brandon_Boudreaux",6.01,240,18,0,0,0,0,0,0,0,0
"Brandon _Bridge",6.05,235,5,0,0,0,0,1,0,0,0
"Brandon_Denson",5.11,230,1,0,0,0,0,0,0,0,0
"Brandon_Driver",6,185,1,0,0,0,0,0,0,0,0
"Brandon_Isaac",6.03,203,26,0,0,0,0,0,0,0,0
"Brandon _Jordan",6.05,255,16,0,0,0,0,0,0,0,0
"Brandon_Kinnie",6.03,224,2,0,0,0,0,0,0,0,0
"Brandon_Lang",6.04,257,22,0,0,0,0,0,0,0,0
"Brandon_London",6.04,210,32,4,24,0,0,1,0,0,0
"Brandon_McDonald",5.104,185,11,0,0,0,0,0,0,0,0
"Brandon_McRae",6.04,205,1,0,0,0,0,0,0,0,0
"Brandon_Rutley",5.11,192,8,2,12,0,0,0,0,0,0
"Brandon_Sermons",5.11,195,2,0,0,0,0,0,0,0,0
"Brandon_Smith",5.1,186,47,0,0,0,0,0,0,0,0
"Brandon_Stewart",6.01,203,45,3,18,0,0,0,0,0,1
"Brandon_Tennant",6.02,305,1,0,0,0,0,0,0,0,0
"Brandon_Thurmond",6.02,260,2,0,0,0,0,0,0,0,0
