"id","playerstats_id","first","last","num","pos","import_status","height","weight","birthdate","birthplace","college","yrsteam","yrsleague","ros_status","created_at","season","season_type","games","touchdowns","points","two_point_points","total_singles","punt_singles","field_goal_singles","kickoff_singles","fumbles","fumbles_lost","fumble_return_yards","fumble_touchdowns","sked_id","week_name","week_short","week_id","game_num","game_date","date_tbd","time_tbd","game_status","away_team","away_initial","away_score1","away_score2","away_score3","away_score4","away_scoreOT","away_id","home_team","home_initial","home_score1","home_score2","home_score3","home_score4","home_scoreOT","home_id","attendance","sold_out","is_visible","culture"
31,"7938","Anthony","Calvillo","13","1","1","6.01","213","1972-08-23","East Los Angeles, CA","Utah State","16","20","15","NULL",9,"pre",2,0,0,0,0,0,0,0,"NULL","NULL","NULL","NULL",11,"Week 2","02",6,"16","2005-07-01 19:00:00",0,0,"Final","Toronto","tor","7","7","8","0","0",7,"Calgary","cgy","0","3","7","6","0",2,"34102",0,1,"en"
31,"7938","Anthony","Calvillo","13","1","1","6.01","213","1972-08-23","East Los Angeles, CA","Utah State","16","20","15","NULL",9,"reg",7,0,0,0,0,0,0,0,"2","2","NULL","NULL",11,"Week 2","02",6,"16","2005-07-01 19:00:00",0,0,"Final","Toronto","tor","7","7","8","0","0",7,"Calgary","cgy","0","3","7","6","0",2,"34102",0,1,"en"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",9,"post",1,0,7,0,1,1,0,0,"NULL","NULL","NULL","NULL",12,"Week 2","02",6,"17","2005-07-02 19:00:00",0,0,"Final","Saskatchewan","ssk","7","2","13","1","0",4,"Hamilton","ham","7","0","0","14","0",6,"29032",0,1,"en"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",9,"reg",15,0,137,0,7,3,2,2,"NULL","NULL","NULL","NULL",12,"Week 2","02",6,"17","2005-07-02 19:00:00",0,0,"Final","Saskatchewan","ssk","7","2","13","1","0",4,"Hamilton","ham","7","0","0","14","0",6,"29032",0,1,"en"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",13,"post",1,0,3,0,0,0,0,0,"NULL","NULL","NULL","NULL",12,"Week 2","02",6,"17","2005-07-02 19:00:00",0,0,"Final","Saskatchewan","ssk","7","2","13","1","0",4,"Hamilton","ham","7","0","0","14","0",6,"29032",0,1,"en"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",13,"pre",1,0,18,0,0,0,0,0,"NULL","NULL","NULL","NULL",12,"Week 2","02",6,"17","2005-07-02 19:00:00",0,0,"Final","Saskatchewan","ssk","7","2","13","1","0",4,"Hamilton","ham","7","0","0","14","0",6,"29032",0,1,"en"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",13,"reg",18,0,151,0,4,1,3,0,"NULL","NULL","NULL","NULL",12,"Week 2","02",6,"17","2005-07-02 19:00:00",0,0,"Final","Saskatchewan","ssk","7","2","13","1","0",4,"Hamilton","ham","7","0","0","14","0",6,"29032",0,1,"en"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",14,"reg",4,0,38,0,1,0,1,0,"NULL","NULL","NULL","NULL",12,"Week 2","02",6,"17","2005-07-02 19:00:00",0,0,"Final","Saskatchewan","ssk","7","2","13","1","0",4,"Hamilton","ham","7","0","0","14","0",6,"29032",0,1,"en"
91,"15850","Henry","Burris","1","1","1","6.01","190","1975-06-04","Spiro, OK","Temple","1","15","3","NULL",9,"post",3,1,6,0,0,0,0,0,"2","1","NULL","NULL",50,"Week 9","09",13,"46","2005-08-20 21:00:00",0,0,"Final","Toronto","tor","0","7","14","1","0",7,"Edmonton","edm","0","1","3","14","0",3,"38927",0,1,"en"
91,"15850","Henry","Burris","1","1","1","6.01","190","1975-06-04","Spiro, OK","Temple","1","15","3","NULL",9,"pre",1,0,0,0,0,0,0,0,"NULL","NULL","NULL","NULL",50,"Week 9","09",13,"46","2005-08-20 21:00:00",0,0,"Final","Toronto","tor","0","7","14","1","0",7,"Edmonton","edm","0","1","3","14","0",3,"38927",0,1,"en"
