"id","playerstats_id","first","last","num","pos","import_status","height","weight","birthdate","birthplace","college","yrsteam","yrsleague","ros_status","created_at","season","season_type","games","touchdowns","points","two_point_points","total_singles","punt_singles","field_goal_singles","kickoff_singles","fumbles","fumbles_lost","fumble_return_yards","fumble_touchdowns"
31,"7938","Anthony","Calvillo","13","1","1","6.01","213","1972-08-23","East Los Angeles, CA","Utah State","16","20","15","NULL",9,"pre",2,0,0,0,0,0,0,0,"NULL","NULL","NULL","NULL"
31,"7938","Anthony","Calvillo","13","1","1","6.01","213","1972-08-23","East Los Angeles, CA","Utah State","16","20","15","NULL",9,"reg",7,0,0,0,0,0,0,0,"2","2","NULL","NULL"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",9,"post",1,0,7,0,1,1,0,0,"NULL","NULL","NULL","NULL"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",9,"reg",15,0,137,0,7,3,2,2,"NULL","NULL","NULL","NULL"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",13,"post",1,0,3,0,0,0,0,0,"NULL","NULL","NULL","NULL"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",13,"pre",1,0,18,0,0,0,0,0,"NULL","NULL","NULL","NULL"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",13,"reg",18,0,151,0,4,1,3,0,"NULL","NULL","NULL","NULL"
33,"8002","Paul","McCallum","15","16","0","5.11","185","1970-01-07","Vancouver, BC","Surrey Rams (Jrs)","13","23","3","NULL",14,"reg",4,0,38,0,1,0,1,0,"NULL","NULL","NULL","NULL"
91,"15850","Henry","Burris","1","1","1","6.01","190","1975-06-04","Spiro, OK","Temple","1","15","3","NULL",9,"post",3,1,6,0,0,0,0,0,"2","1","NULL","NULL"
91,"15850","Henry","Burris","1","1","1","6.01","190","1975-06-04","Spiro, OK","Temple","1","15","3","NULL",9,"pre",1,0,0,0,0,0,0,0,"NULL","NULL","NULL","NULL"
91,"15850","Henry","Burris","1","1","1","6.01","190","1975-06-04","Spiro, OK","Temple","1","15","3","NULL",9,"reg",18,0,0,0,0,0,0,0,"6","3","NULL","NULL"
91,"15850","Henry","Burris","1","1","1","6.01","190","1975-06-04","Spiro, OK","Temple","1","15","3","NULL",13,"pre",2,0,0,0,0,0,0,0,"NULL","NULL","NULL","NULL"
91,"15850","Henry","Burris","1","1","1","6.01","190","1975-06-04","Spiro, OK","Temple","1","15","3","NULL",13,"reg",18,2,12,0,0,0,0,0,"6","2","NULL","NULL"
91,"15850","Henry","Burris","1","1","1","6.01","190","1975-06-04","Spiro, OK","Temple","1","15","3","NULL",14,"pre",2,0,0,0,0,0,0,0,"1","NULL","NULL","NULL"
